positionX,positionY,positionZ,propertyX,propertyY,propertyZ
4.779283,0.6385616,-8.678326,0.9643867,0.5412611,0
4.381975,-0.1791269,-8.678326,0.8071782,0.5255089,0
5.019075,-0.8667234,-8.678326,0.8229621,0.3292229,0
6.136018,-1.224317,-8.678326,0.8144113,0.411467,0
7.17532,-1.422113,-8.678326,0.9900664,0.3460822,0
8.064735,-1.574539,-8.678326,0.9589278,0.4937669,0
9.297495,-1.764968,-8.678326,0.8860959,0.3676713,0
10.38754,-1.710101,-8.678326,0.9699854,0.4294871,0
11.52554,-1.320898,-8.678326,0.9188099,0.4639626,0
11.91203,-0.4235706,-8.678326,0.8632974,0.4387594,0
9.990447,-0.1005277,-8.678326,0.9913728,0.3668521,0
8.987341,0.01887885,-8.678326,0.8910885,0.3754573,0
7.837677,0.06395096,-8.678326,0.9450118,0.5071233,0
6.801075,0.0575789,-8.678326,0.8932109,0.3982221,0
5.883609,0.02165822,-8.678326,0.8058639,0.4007592,0
4.8604,-0.3876665,-8.678326,0.9419589,0.4762799,0
3.915998,-0.6016937,-8.678326,0.8084487,0.4011387,0
2.600176,-0.8378699,-8.678326,0.9894651,0.4554133,0
3.851101,-0.5273237,-8.678326,0.8850343,0.3349232,0
4.933358,-0.4381122,-8.678326,0.9677678,0.3896764,0
5.960031,-0.3819212,-8.678326,0.8445939,0.4304989,0
8.28871,-0.3917165,-8.678326,0.9176629,0.4248523,0
9.239413,-0.3083924,-8.678326,0.9001179,0.5586997,0

